title,author,style,complete,introduce,last_update
万族之劫,老鹰吃小鸡,都市,连载,我是这诸天万族的劫！《全球高武》和《万族之劫》前五册实体书出版了，天猫、当当、京东都有售，喜欢的可以去看看，谢谢大家支持！,2020-10-29 16:29
我师兄实在太稳健了,言归正传,仙侠,连载,重生在封神大战之前的上古时代，李长寿成了一个小小的炼气士，没有什么气运加身，也不是什么注定的大劫之子，他只有一个想要长生不老的修仙梦。为了能在残酷的洪荒安身立命，他努力不沾因果，杀人必扬其灰，凡事谋而后动，从不轻易步入危险之中。藏底牌，修遁术，炼丹毒，掌神通，不动稳如老狗，一动石破天惊，动后悄声走人。本来李长寿规划中，自己会一直躲在山中平安无事的修行成仙，直到有一年，他的老师父静极思动，又给他……收了个师妹回来……【PS：暂时不开新群，五群（1098711961）壹群（474095492）贰群（836797636）叁群（398929196）肆群（1071059242）贯彻到底，轻松修仙！】,2020-10-29 00:06
大梦主,忘语,仙侠,连载,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？,2020-10-29 12:03
大奉打更人,卖报小郎君,仙侠,连载,这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。PS：本书不悲剧！,2020-10-29 09:00
我的徒弟都是大反派,谋生任转蓬,玄幻,连载,陆州一觉醒来成了世间最强大最老的魔头祖师爷，还有九个恶贯满盈，威震天下的徒弟。大徒弟幽冥教教主手下万千魔众，二徒弟剑魔一言不合就开杀戒……没了一身修为，如何调教这帮恶徒？大徒弟于正海：“老夫这一生所向披靡，除了师父他老人家，谁也别想骑我头上。”七徒弟司无涯：“师父不死，我等寝食难安啊！”……九徒弟鸢儿：“我一定会谨记师父的话，做个好人。”一群586414482，二群444133211，V群1059766128（需粉丝值大于2000）欢迎来聊天打屁。简介无力。请看内容吧。,2020-10-29 16:14
神话版三国,坟土荒草,历史,连载,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635,2020-10-29 08:16
临渊行,宅猪,玄幻,连载,苏云怎么也没有想到，自己生活了十几年的天门镇，只有自己是人。他更没有想到天门镇外，方圆百里，是鼎鼎有名的无人区。少年睁开眼睛时，想象中的世界崩塌了，妖魔鬼怪横行的现实呈现在他的面前。临渊行。黑夜中临深渊而行，须得打起精神，如履薄冰！书友群群号，978862507（已满）书友二群，713432268；订阅群，1037358191（有验证）,2020-10-29 12:04
轮回乐园,那一只蚊子,轻小说,连载,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……---------------本书动漫无限流，作者节操满满，请放心入坑。读者群：534789565二群：631919682三群：485381921VIP群：204920420（需粉丝值截图验证）,2020-10-28 23:35
明天下,孑与2,历史,连载,明末的历史纷乱混杂，堪称是一段由一些有着强大个人魅力的人书写成的历史。不论是李自成，还是张献忠这些叛逆者，还是崇祯，袁崇焕，这些当权者，亦或是吴三桂，耿精忠这些背叛者，每个人身上都有很多的故事，就是因为有了这些精彩的故事，明末的历史才变得大气起磅礴，波澜起伏。想要把这一段历史写好，自然要描绘出一个个活生生的人物，不论他的立场如何，我们站在历史长河的边缘上旁观，他们不过是这条长河里的一朵浪花。冷眼看世界，就是我们目前需要做的事情，冷眼看历史也是我们目前生活的一种追求。历史长河已经流淌到了我们的脚下，我们大可站在河边，准备迎接我们的历史。,2020-10-29 16:21
东晋北府一丘八,指云笑天道1,历史,连载,历史的车轮滚过波澜壮阔的三国时代，中原大地迎来了百年未遇的和平，人们都以为盛世即将来临，可谁都没想到，等来的却是一场汉人永远也不愿面对的千年恶梦。永嘉丧乱，中原大地，虎狼横行!华夏的儿女，在血泊中哀号。不甘为奴的汉人举族南下，在江东之地重建东晋，自祖逖起，百年来汉家军队六出江南，九伐中原，可惜功亏一篑，多少志士，徒望两京兴叹，巍巍青山，何处不埋忠骨？所幸天不亡汉族，还有刘寄奴，他会用一腔的热血，吼出这个时代的最强音：汉胡不两立，王业不偏安！欢迎随本书走进那段金戈铁马，气吞万里的年代。作者书友群933794235,2020-10-29 17:00
黎明之剑,远瞳,科幻,连载,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。,2020-10-29 08:05
我真没想重生啊,柳岸花又明,都市,连载,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？已有精品作品《大时代1994》，验证群964657392（粉丝值500以上进群）。,2020-10-28 23:32
当医生开了外挂,手握寸关尺,都市,连载,"你是一名月入2000的小（穷）医生，饱受生活的压力和摧残！可是，某天一觉醒来，发现自己开了外挂……你要做一台阑尾手术，于是开腹探查：你触摸盲肠：【盲肠：健康！】你触摸结肠：【结肠：健康！】你触摸阑尾：【阑尾：这是一个炎性化脓的阑尾怪，lv15，稀有怪，建议：行阑尾切除术！】你手起刀落，圆满切下阑尾。【叮！击杀稀有阑尾怪，获得：阑尾切除术经验+100，人民币+100，白色缝合针一个！】……你是一名急诊外科医生，你一觉醒来……救人就变强！普2群：107,798,4631。全订V群：818，843，247（需全订）舵主群：群号：902，053，154。（舵主及以上）老手好酒好肉期待大家到来！",2020-10-29 00:17
绍宋,榴弹怕水,历史,连载,绍者，一曰继；二曰导。公元1127年，北宋灭亡。旋即，皇九子赵构在万众期待中于商丘登基，继承宋统，改元建炎。然而，三个月内，李纲罢相，陈东被杀，岳飞被驱逐出军，宗泽被遗弃东京，河北抗金布置被全面裁撤……经过这么多努力之后，满朝文武终于统一了思想，定下了拥护赵官家南下淮甸转扬州的辉煌抗金路线。不过刚一启程，在亳州明道宫参拜了道祖之后，这位赵官家便一头栽入了闻名天下的九龙井中，起来后就不认得自己心腹是谁了！朕要抗金！可朕的心腹都在何处？！这是一个来自于九百年后灵魂的真诚呐喊，他在无可奈何继承了大宋的名号后，更要将这个朝廷与天下导向一条新路。故称绍宋。,2020-10-29 12:25
超神机械师,齐佩甲,游戏,连载,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭地，还有无边无际的机械大军，静静待在随身仓库里一人，即是军团！如果不是玩家出现，本书就是正经严肃的穿越异界题材……作为NPC，正常NPC对玩家功能一应俱全……发布任务？好感度调节？传授技能？哎等等，这群玩家我怎么都认识得，现实世界也回到了十年前。二群：157302881三群：884339155V群：547599250（需1w粉丝值由管理审核）,2020-10-28 23:42
我只想自力更生,中秋月明,都市,连载,本书又名《我真是个拆二代》赵德柱重生了。他不知道炒国库券，不知道炒股票，不记得中奖彩票号，也不懂怎么做生意赚钱……他只有一个念头：我要自力更生！再也不做那个混吃等死的……拆二代书友新群:582356610，欢迎吹水不喜欢追更的，可以先看完本美术职业文《大美时代》、佣兵枪战文《我是个么得感情的杀手》,2020-10-29 04:36
魔临,纯洁滴小龙,悬疑,连载,这个世界一直流传着一个传说：终有一日，魔王会降临于这个世界，魔王的麾下，有七尊恐怖的魔头，他们，将带给这个世界绝望的黑暗。《魔临》舵主群：893、107、381（需要验证）《魔临》樊力群：113、552、0983（无需验证）,2020-10-28 23:58
精灵掌门人,轻泉流响,轻小说,连载,为什么考试会有精灵对战，为什么出门会被精灵袭击，谁告诉我地球发生了什么……不要碰我！我不要吃药，我没疯！接受了设定后……方缘立志成为一名优秀的训练家。“真香。”――――――――进入V群需全订验证，先加验证群273081875，找管理员验证后进v群。,2020-10-28 21:29
亏成首富从游戏开始,青衫取醉,游戏,连载,近日，特约记者对腾达集团总裁裴谦做了专访。腾达集团目前估值已达千亿级别，业务涉及游戏、互联网、数码硬件、文化传媒、餐饮等多个领域，深刻地改变了人们生活的方方面面。而裴谦，也被视为“绝世好老板”、“不世出的投资奇才”、“天才游戏制作人”，拥有“无为而治的管理才能”和“对行业风向的精确洞察力”。面对记者，裴谦大吐苦水。“我真不是什么商业奇才啊！”“我的成功，完完全全都是运气使然！”“我最初的目标，只是想亏光五万块而已……”看，商业天才的人生就是这么的谦虚而又低调。书友群：1064135703（新群）893157567（已满）,2020-10-28 22:29
左道倾天,风凌天下,玄幻,连载,是非谁来判定，功过谁予置评？此生不想规矩，只求随心所欲。天机握在手中，看我飞扬跋扈。――――我是左小多，我不走寻常路。VIP全订阅群号：971103262,2020-10-29 11:00
芝加哥1990,齐可休,轻小说,连载,穿越、90年代、芝加哥、美娱、作曲、编剧、制片、传媒集团,2020-10-28 14:57
港综世界大枭雄,萌俊,科幻,连载,他叫庄世楷，是探长！也是一哥！从70年代的探长，到80年代的署长，再到90年代的首位华人处长。有人叫他庄先生，有人叫他庄处长，最后《时代周刊》称他为“跨越世纪的枭雄”。......“叮，发布任务：击毙伍世豪！”手腕上的大金劳泛起一抹闪光，又要开始搞事了。本书为电影世界题材，如有雷同，纯属故意碰瓷。读者群新界总区：1093329759,2020-10-29 14:00
从1983开始,睡觉会变白,都市,连载,一个有点怀旧的故事。……………………书友群旧群已满，新群：8876-28-702,2020-10-29 16:27
大周仙吏,荣小荣,仙侠,连载,穿越妖魅横生，群魔乱舞的仙侠世界，李慕开始真的只想苟活，可他无意中救了的小狐狸忽然口吐人言，说要以身相许……这是一个现代青年穿越仙侠世界，斩妖除魔，匡扶正义的故事。,2020-10-28 20:33
沧元图,我吃西红柿,玄幻,连载,番茄的第十本小说。――――我叫孟川，今年十五岁，是东宁府“镜湖道院”的当代大师兄。,2020-10-28 20:31
生活系游戏,吨吨吨吨吨,都市,连载,【一份卖相不好的宫保鸡丁】从江枫无意中发现自己居然可以看到自家老爹炒出来的菜的备注开始，他的人生就已经发生了翻天覆地的变化……1.本游戏自由度极高，请玩家自行探索.2.本游戏不会干预玩家的任何选择，请玩家努力解锁成就.3.一切解释归游戏所有.普群一群：781556033V群：720368320（全订即可）,2020-10-29 02:49
剑卒过河,惰堕,仙侠,连载,小人物，也有大成就！一卒过河，有进无退！一剑在手，再铸辉煌！本书vip群号：964227244。官方群号：853336118,2020-10-29 07:01
禁区之狐,林海听涛,体育,连载,“胡莱先生，当今足坛像您这样只会进球的前锋生存空间越来越狭窄……但尽管如此，您还是取得了耀眼的成就，请问您的成功秘诀是什么呢？”在一个冬日的午后，胡莱向来自全世界的记者们展示他刚刚获得的至高荣誉，有记者向他提出了这样的问题。面对记者们投来的目光，胡莱的思绪却回到了中学时的那个下午，他孤独的站在球场旁边看其他同学踢比赛，他们不让他上场，觉得他是来捣乱的。他还想到了教练板着脸对他说的话：“胡莱，如果你不能付出十倍于别人的努力，你的天赋就只是毫无价值的石头而已。”以及一个不屑的声音：“现代足球对中锋的要求越来越高，越来越全面，你只会射门有什么用呢？”最后他的思绪定格于那时，夜幕已在东方的天空中若隐若现，在周边长满了荒草的废弃空地中央，有个女孩子很认真地对他说：“胡莱，你其实是有天赋的，而且是很厉害的天赋！因为你知道球门在哪里！”胡莱盯着女孩子的眼睛，从那双眼眸中看到了身后的夕阳。阳光映在瞳孔中，流动着，燃烧着，凝成一道光环，仿佛要把自己也融化在这光芒中一样。收回思绪的胡莱重新回到了这个暖和的冬日午后，面对兴致勃勃的记者们，他微微一笑：“因为我知道，球门就在那里。”,2020-10-29 08:00
凌天战尊,风轻扬,玄幻,连载,地球最强兵王魂穿异世，融轮回武帝记忆，修《九龙战尊诀》，所向披靡，战威无可敌！会炼药、能炼器、懂铭纹……生活职业，全能才是王道！！,2020-10-28 13:06
原来我是修仙大佬,木下雉水,仙侠,连载,仙道缥缈，仙踪难觅。李念凡以凡人之躯降临修仙世界，得知修仙无望后只想安稳度日。却不知――他收养的一条狗，因为看他写诗作画，成为一代妖王，镇压一方世界。他屋后栽种的树木，因为听他弹琴奏曲，成为世界之树，撑起天地桥梁。他遇到的一个路人，因为受他随口点化，成为仙道圣人，引领一个时代。回首时――原来那位一直缠着他要字画的书生是仙界画圣，那位棋艺很烂的老头是仙界棋圣，那位每天晚上来听曲的美女是仙界第一圣女……,2020-10-29 13:20
御九天,骷髅精灵,仙侠,连载,王峰创造了一款游戏“御九天”，在即将功成名就，走向人生巅峰的时候，穿越到了“九天世界”。可是穿越必备的辅助系统呢？不是高富帅也就罢了，毕竟王家兄弟是个有才华的人，可，地牢小皮鞭开局是什么鬼？无外挂，不穿越，面对来自灵魂的拷问，三观奇正的老王开始了人生的第二次奋斗。兄弟们，老王又回来了！,2020-10-29 00:09
我只会拍烂片啊,巫马行,都市,连载,“你们信吗！我说，未来我们将创造一个时代，一个让好莱坞都颤抖的时代，那个时候……”那一年，燕影大学混吃等死，被辅导员称为老鼠屎的大四学渣喝醉酒对着兄弟们吹了这么一个牛逼，他本来以为也就吹牛逼，酒醒后大家该干嘛干嘛……但！一个星期后，当兄弟们砸锅卖铁建好剧组，并眼巴巴等待他拍摄以后……他慌了………………………………后来，在那一年之后……世界电影圈所有人心态炸裂了……,2020-10-29 16:25
红楼春,屋外风吹凉,历史,连载,隆安五年，二世为人的贾蔷为保清白身，从虎狼之巢宁国府夺命而逃，自此，一名万年工科单身狗，迎来了他在红楼世界的春天……群号：三七九，三零三，零七六（已满）二群：一一三，五五七，五三零二。,2020-10-29 14:00
不会真有人觉得修仙难吧,黑夜弥天,轻小说,连载,仙武纪元，三月三。在掌门的不懈努力之下，青云道宗终于迎来了第八位弟子叶平。为了能让叶平留下，也为了能够得到叶平的尊重，宗门上下用尽各种手段哄骗。吹嘘自己是绝世剑道天才，绝世修行天才，绝世炼丹天才，绝世炼器天才，绝世占卜天才，绝世阵法天才，绝世鉴宝天才，绝世气运之子。而且为了维持天才形象，更是一通乱教。随便划一道剑痕就让叶平领悟绝世剑意。随便拿出个大锅就让叶平炼出极品丹药。随便拿出一枚铜钱就让叶平算出绝世天机。本只是希望叶平能够晚点发现真相，多在宗门待一待。可让所有人都没想到的是。这个新来的小师弟.......居然真学会了。----本书又名《修仙真的好难啊》，《平平无奇小师弟》，《如何能让小师弟相信我们都是理论派？》，《这不是有手就行》，《只要你们敢说我就敢做》，《原来这个世界上真的有天才》，《资质平平小师弟》,2020-10-29 00:00
伏天氏,净无痕,玄幻,连载,东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，值此之时，一代天骄叶青帝及东凰大帝横空出世，东方神州一统！然，叶青帝忽然暴毙，世间雕像尽皆被毁，于世间除名，沦为禁忌；从此神州唯东凰大帝独尊！十五年后，东海青州城，一名为叶伏天的少年，开启了他的传奇之路…,2020-10-29 12:19
全职艺术家,我最白,都市,连载,“音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。,2020-10-28 22:11
诡秘之主,爱潜水的乌贼,玄幻,完本,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。,2020-07-13 18:06
烂柯棋缘,真费事,仙侠,连载,烂柯旁棋局落叶，老树间对弈无人兴所致天元一子，再回首山海苍茫……一觉醒来，计缘成了一个破旧山神庙中的半瞎乞丐。真人一柄剑，神棍一张嘴，就是计缘在这个可怕的世界安身立足的根本。――――普群号：563767909VIP验证群号：1071336169（需要全订截图）,2020-10-29 00:21
大唐扫把星,迪巴拉爵士,历史,连载,他穿越在即将被村民们活埋的那一刻，自爆……不，自救成功。他只想在这个时代混吃等死，可……那女人太疯狂了。……书友群：624065836，群名：大唐扫把星。若是全订，进去后可联系群主，验证进全订群。,2020-10-29 12:00
天启预报,风月,奇幻,连载,“我想要挨一顿毒打……”――灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。.某一天，穷困潦倒的槐诗忽然发现自己捡来的金手指终于能用了……只不过，这似乎并不是一件好事。为了赚钱和苟命，他一不小心踏入了这个危险世界。现境之外的边境，日常之后的异常。天文会，绿日、黄金黎明、存世余孽与诸界天敌……究竟是生存还是灭亡？这是个问题。那么，就在这一万零一种拯救世界的方法中，选一个通往HAPPYEND的方向吧。――――――VIP读者群：718703105(存续院一号实验室)，入群之后发粉丝值（需全订）召唤管理，可进入V群。,2020-10-28 17:48
贞观憨婿,大眼小金鱼,历史,连载,“陛下，管管你女婿韦憨子吧，他又要在东门外单挑那帮大臣！”一个大臣跑到甘露殿对着李世民喊道。“这个韦憨子，简直就是胡闹，传朕的口谕，不许在东门打架！”李世民一脸愤怒的喊道。・・・・・・・・“走，去西门，东门不能打！”韦浩在东门对着那些大臣们喊道。,2020-10-28 23:39
小阁老,三戒大师,历史,连载,站在你面前的是：大明王朝的守护者，万历皇帝的亲密战友，内阁首辅的好儿子，十六、十七世纪全球首富。控制吏部三十年的幕后黑手，宗藩制度的掘墓人，东林党口中的严世藩第二，张居正高呼不可战胜。海瑞的知己，徐渭的东家，利玛窦的剃度人，徐光启等六位状元的授业恩师。大明诗坛遮羞布，七百余种各学科书籍撰写者，两千七百余项专利的发明人，现代大学与科学的奠基者。海外汉人的保护神，新航路的开辟者，大洋秩序的维持者，全球大型工程的承包商。祸乱欧洲的罪魁祸首，德川家康的义父，塞巴斯蒂安的拯救者，一心为民的小阁老。小阁老书友群：56471661,2020-10-29 00:08
极品全能高手,花都大少,都市,连载,【最火爆畅销书】一场车祸改变了我的平凡人生。各种奇遇接连而来。考试满分，刮刮乐必中，篮球天才，游泳健将选一个？不，老子就是全能。QQ群：203799451【花都出品，必定精品。】,2020-10-29 12:00
最初进化,卷土,玄幻,连载,本书QQ交流群：153340812最意外的诡异宿命，最激烈的脑力碰撞，最残酷的生死战斗，最疯狂的奇异幻想，最离奇的事实真相......最初已至，再战十年！,2020-10-29 00:22
数风流人物,瑞根,历史,连载,瑞根晚明+红楼半架空历史官场养成文，绝对够味！大周永隆二年。盛世隐忧。四王八公鲜花着锦，文臣武将烈火烹油。内有南北文武党争不休，外有九边海疆虏寇虎视。这是一个最好的时代，也是一个最坏的时代。关键在于你身处其中时，该如何把握。勇猛精进，志愿无倦，且看我如何定风流，挽天倾！历史官场养成文，兄弟们请多支持。瑞根铁杆书友群：581470234,2020-10-29 07:51
斗罗大陆IV终极斗罗,唐家三少,玄幻,连载,一万年后，冰化了。斗罗联邦科考队在极北之地科考时发现了一个有着金银双色花纹的蛋，用仪器探察之后，发现里面居然有生命体征，赶忙将其带回研究所进行孵化。蛋孵化出来了，可孵出来的却是一个婴儿，和人类一模一样的婴儿，一个蛋生的孩子。,2020-10-29 17:00
大数据修仙,陈风笑,仙侠,连载,冯君身为985的双学位，毕业就失业了，在都市中艰难打拼，偏偏还放不下架子，他的处境可想而知。直到有一天，他和手机被雷劈了，猛然发现，原来自己可以化身数据，进入app中。化身数据进入app中能做什么？能做的太多了，尽情想像吧……慢着，手机银行的存款？住手，那个不能乱改！当然，这并不仅仅是全部，然后他还发现，自己居然可以自由进入仙侠位面……让我们跟随冯君，踏上奇妙的修仙之旅，“落花时节又逢君”，这话可不是白说的……,2020-10-28 20:52
我在东京教剑道,范马加藤惠,轻小说,连载,穿越到了1980年的东京葛氏区，继承了道场，父母双亡，有妹有房，但是存款快见底了，学生没有，怎么办，急，在线等。算了，不管了，快乐就完事了。面对疾风吧！,2020-10-28 23:53
